,Name,Description,Designator,Part Number,Price,Qty
,Test point 1.2mm,1.2mm Test point,"+5V, +12V, P1, P2, RX1, T1, T2, T3, T4, TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54, TP55, TX1",,,65
,0.1 µF,CAP CER 0.1UF 50V X7R 0603,"C1, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C23, C41, C66, C67, C69, C72, C77, C82, C85, C86, C103, C104","TDK CGA3E2X7R1H104K080AE, ",1.66721,25
,10 µF,CAP CER 10UF 50V X7R 1206,"C2, C40","Samsung Electro-Mechanics CL31B106KBHNNNE, ",0.70198,2
,4.7 µF,CAP CER 4.7UF 50V X7R 1206,C3,Samsung Electro-Mechanics CL31B475KBHNFNE,0.29249,1
,4700 pF,CAP CER 0603 4.7NF 16V X7R 10%,C16,Yageo Group C0603C472K4RECAUTO,0.1404,1
,2.2 µF,CAP CER 2.2UF 50V X7R 1206,"C17, C18","Samsung Electro-Mechanics CL31B225KBHNFNE, ",0.49139,2
,12pF,CAP CER 12PF 50V C0G/NP0 0603,"C19, C21",,,2
,6.8 pF,CAP CER 6.8PF 50V C0G/NPO 0603,"C20, C22","Yageo Group CC0603CRNPO9BN6R8, ",0.1872,2
,10 µF,CAP CER 10UF 16V X5R 1206,"C24, C39","TAIYO YUDEN EMK316BJ106MD-T, ",0.56159,2
,22 µF,CAP CER 22UF 16V X5R 1206,"C25, C31","Samsung Electro-Mechanics CL31A226KOCLFNC, ",0.98278,2
,0.1 µF,CAP CER 0.1UF 50V X7R 0603,"C26, C27, C28, C29, C30, C32, C33, C34, C37, C45, C46","Yageo Group C0603C104K5RAC7411, ",0.60488,11
,1 µF,CAP CER 1UF 16V X7R 0603,"C35, C38","Yageo Group C0603C105K4RACAUTO, ",0.25739,2
,100 pF,CAP CER 100PF 50V C0G/NP0 0603,C36,Yageo Group C0603C101K5GACAUTO,0.1287,1
,47 pF,CAP CER 47PF 50V C0G/NP0 0603,"C42, C44","Wurth Elektronik 885012006055, ",0.1872,2
,4700pF,CAP CER 4700PF 50V X7R 0603,C43,,,1
,0.1 µF,CAP CER .1UF 100V X7R 0603,"C47, C54",,,2
,1200 pF,CAP CER 1200PF 100V X7R 0603,C48,Yageo Group C0603C122K1RACTU,0.30419,1
,2.2µF,CAP CER 2.2UF 100V X7R 1206,"C49, C50, C56, C57",,,4
